rank,feature,gain_mean,gain_std,vote_count_top15,avg_rank_in_top15
1,q3_where1,9.386898040771484,1.6149316966272746,3,1.0
2,q6_likeen,4.6634871164957685,0.5490972386069932,3,2.333333333333333
3,p1q5_gender,4.222209612528483,0.33491376212421,3,3.0
4,q3_where4,2.388895591100057,1.4140138628414425,2,4.5
5,q4_act10,1.8329458236694336,1.0300118686543729,2,14.5
6,q6_likecle,1.8040846586227417,0.1699893083974428,3,12.333333333333334
7,q3_where3,1.789530833562215,0.7894898138893626,2,12.5
8,requi2_sang_tao_xh,1.745936592419942,0.4995332817533405,2,9.0
9,requi11_nghe_xh,1.703526457150777,0.205480414708471,3,17.666666666666668
10,q1c_cer,1.6368655761082966,0.1452524748785395,3,17.666666666666668
11,requi1_kheo_leo_xh,1.619106650352478,0.4185080648170605,2,15.0
12,p1q16_dislikesub,1.611107071240743,0.0664503503356293,3,18.666666666666668
13,requi5_phan_tich_nt,1.59911847114563,0.5966232870275786,2,18.0
14,p1q15_hsub,1.582669019699097,0.3761689218037375,2,14.0
15,p1q8_afloseschool,1.5727777481079102,2.724130968736666,1,3.0
