feature,gain_mean,gain_std,vote_count_top15,avg_rank_in_top15
q3_where1,9.386898040771484,1.6149316966272746,3,1.0
q6_likeen,4.6634871164957685,0.5490972386069932,3,2.3333333333333335
p1q5_gender,4.222209612528483,0.33491376212421,3,3.0
q6_likecle,1.8040846586227417,0.1699893083974428,3,12.333333333333334
requi11_nghe_xh,1.703526457150777,0.20548041470847103,3,17.666666666666668
q1c_cer,1.6368655761082966,0.14525247487853957,3,17.666666666666668
p1q16_dislikesub,1.611107071240743,0.06645035033562936,3,18.666666666666668
q3_where4,2.388895591100057,1.4140138628414423,2,4.5
q4_act10,1.8329458236694336,1.0300118686543727,2,14.5
q3_where3,1.789530833562215,0.7894898138893626,2,12.5
requi2_sang_tao_xh,1.7459365924199421,0.49953328175334055,2,9.0
requi1_kheo_leo_xh,1.619106650352478,0.41850806481706054,2,15.0
requi5_phan_tich_nt,1.5991184711456299,0.5966232870275786,2,18.0
p1q15_hsub,1.5826690196990967,0.3761689218037375,2,14.0
q6_likeman,1.5147339900334675,0.15835431688767587,2,16.5
aware_lv_nghe_thuat,1.5134027401606243,0.12747538451810653,2,20.5
q2_care1,1.5063138405481975,0.27716638902936525,2,17.0
requi18_lam_viec_ti_mi_chi_tiet_kt,1.4985028107961018,0.11153780031977745,2,17.5
q4_act2,1.4153607487678528,0.41481068251245673,2,19.5
p1q8_afloseschool,1.5727777481079102,2.724130968736666,1,3.0
q3_where7,1.5264922380447388,0.287867607865984,1,18.0
q4_act8,1.5169514020284016,1.0121576296711474,1,6.0
requi12_thuyet_trinh_xh,1.482906421025594,0.30454326747638005,1,7.0
requi6_viet_nt,1.4260265032450359,0.7911472196263482,1,8.0
requi7_tuong_tuong_nc,1.4228166739145915,0.4490724439714923,1,15.0
requi5_phan_tich_nv,1.4106468359629314,0.1319897877874031,1,27.0
q3_where6,1.4040447473526,0.5591889995482302,1,6.0
q6_likere,1.403667688369751,0.4560228757089128,1,16.0
q6_likeso,1.4010535875956218,0.1586481797658578,1,17.0
p1q14_megr9,1.3602481285730998,0.24769948152918672,1,26.0
requi3_dinh_huong_ql,1.3344450394312541,0.26892018446916033,1,17.0
q2_care6,1.3333723545074463,0.26573303840172796,1,14.0
q5_affect20,1.3197757800420125,0.18843741882389684,1,21.0
q5_affect1,1.3144391775131226,0.15717870769445513,1,27.0
requi15_thuyet_phuc_nc,1.3032432794570923,0.2205398544167125,1,18.0
q3_where8,1.3027392228444417,0.20638568421416312,1,23.0
requi8_am_nhac_nt,1.282617727915446,0.291711878821436,1,16.0
requi5_phan_tich_nc,1.281378169854482,0.598595694844529,1,7.0
requi8_am_nhac_xh,1.274437169233958,0.45573638166417213,1,19.0
requi13_lam_viec_voi_nguoi_khac_kt,1.2586427927017212,0.615299301712047,1,13.0
p1q13_mjob,1.2539425293604534,0.1445840708768539,1,30.0
requi16_vuot_kho_khan_nguy_hiem_nt,1.208235243956248,0.37920219222628737,1,13.0
aware_lv_nghien_cuu,1.1879069010416667,0.15346244847900317,1,30.0
q5_affect12,1.1861964464187622,0.26824526329605625,1,22.0
requi18_lam_viec_ti_mi_chi_tiet_nc,1.1702818671862285,0.2809368841135753,1,26.0
requi14_gay_anh_huong_nv,1.170117179552714,1.1913295307458305,1,7.0
q4_act4,1.165761669476827,0.2867624468239411,1,25.0
requi1_kheo_leo_nt,1.163963258266449,0.23572936668705946,1,26.0
requi16_vuot_kho_khan_nguy_hiem_nv,1.1489490071932476,1.527137530926279,1,5.0
q9_insexam,1.1388266682624817,0.41400954462229955,1,15.0
requi2_sang_tao_nc,1.1191357771555583,0.5517761431122101,1,20.0
requi12_thuyet_trinh_nc,1.1163215239842732,0.5273801846257251,1,22.0
requi7_tuong_tuong_kt,1.1062479615211487,0.3516454936840747,1,28.0
requi7_tuong_tuong_nt,1.0824366609255474,0.37666373466765485,1,27.0
requi10_noi_nt,1.0790752569834392,0.4056519306958735,1,20.0
q4_act6,1.0638997554779053,0.5282518724799313,1,23.0
requi4_nghien_cuu_kt,1.045179307460785,0.4234090771451484,1,28.0
requi3_dinh_huong_nc,1.033379038174947,1.1446307133904638,1,10.0
requi14_gay_anh_huong_kt,1.0069881478945415,0.3642445124097267,1,29.0
requi7_tuong_tuong_nv,0.957020123799642,0.8304869489412221,1,23.0
q8_ins,0.8757797479629517,0.786500748896466,1,19.0
requi4_nghien_cuu_nt,0.8273346821467081,0.765081672768263,1,30.0
requi11_nghe_kt,0.7578396002451578,1.312616691612301,1,9.0
requi6_viet_kt,0.5814760526021322,1.007146066491486,1,9.0
q2_care3,1.3219062089920044,0.12234853005588321,0,
p1q16_lsub,1.2500495115915935,0.1107603469713733,0,
requi16_vuot_kho_khan_nguy_hiem_kt,1.2447105248769124,0.23644612251318264,0,
q5_affect15,1.2308611472447712,0.1937511073886907,0,
requi15_thuyet_phuc_nt,1.2266565958658855,0.12963051742846704,0,
q3_where2,1.2264797687530518,0.15261689193768094,0,
requi15_thuyet_phuc_ql,1.2238857746124268,0.023864599247130348,0,
q5_affect19,1.2212326526641846,0.05790788169737894,0,
p1q16_likesub,1.2211023966471355,0.05196078105997106,0,
aware_lv_xa_hoi,1.2167055209477742,0.07740669551185013,0,
requi13_lam_viec_voi_nguoi_khac_ql,1.2103439569473267,0.16160297403660945,0,
requi11_nghe_nv,1.2075869242350261,0.13955405093855924,0,
requi17_lam_viec_voi_ho_so_du_lieu_nc,1.2067588170369465,0.1721814459247716,0,
q2_care4,1.1993127862612407,0.19762283446311785,0,
requi17_lam_viec_voi_ho_so_du_lieu_nv,1.1884441773096721,0.11894187371975878,0,
q5_affect3,1.1833834648132324,0.15137267011280595,0,
requi12_thuyet_trinh_nv,1.1819518009821575,0.1490011542037254,0,
q2_care5,1.1611303091049194,0.07348201668442145,0,
requi18_lam_viec_ti_mi_chi_tiet_ql,1.1571925282478333,0.1852028713841904,0,
requi11_nghe_nt,1.1551420291264851,0.08054718369743492,0,
requi5_phan_tich_xh,1.1538217067718506,0.21618156295117083,0,
q4_act11,1.1480050881703694,0.17147872064995456,0,
requi4_nghien_cuu_nv,1.1460797985394795,0.18895937815308556,0,
q5_affect5,1.1432235439618428,0.2201050828561574,0,
q5_affect13,1.1385337710380554,0.1633826402022795,0,
requi4_nghien_cuu_ql,1.13728666305542,0.06758774286511783,0,
q5_affect18,1.1346762776374817,0.24128099015837073,0,
p1q12_fjob,1.1240721940994263,0.03979746875219374,0,
requi6_viet_xh,1.124066909154256,0.03446291129532572,0,
requi2_sang_tao_nt,1.1180446147918701,0.11199671932331827,0,
q5_affect8,1.1175408562024434,0.1144291498454167,0,
q3_where5,1.11347234249115,0.15454487789297314,0,
requi10_noi_ql,1.1097522179285686,0.18217236601061998,0,
requi5_phan_tich_ql,1.1026159127553303,0.2217049825626024,0,
requi16_vuot_kho_khan_nguy_hiem_nc,1.0960759123166401,0.12108041674965449,0,
requi15_thuyet_phuc_xh,1.0954132477442424,0.060197205490798066,0,
q4_act3,1.0920268495877583,0.1558928578911067,0,
requi17_lam_viec_voi_ho_so_du_lieu_kt,1.0859261353810628,0.06173590510050851,0,
requi6_viet_ql,1.0822462638219197,0.08556560858921802,0,
requi3_dinh_huong_xh,1.0804681380589802,0.14390457358668104,0,
requi10_noi_xh,1.0792880058288574,0.09613027472931142,0,
q5_affect9,1.0778379042943318,0.05436838716480265,0,
q6_likear,1.077424665292104,0.17059265193560325,0,
q1a_namtrainjob,1.0748868187268574,0.1377369110421664,0,
requi7_tuong_tuong_xh,1.0732661286989849,0.16206350809847703,0,
requi9_bieu_dien_nghe_thuat_nt,1.073184867699941,0.09374510478712862,0,
requi4_nghien_cuu_nc,1.0714797774950664,0.17442732995506774,0,
requi14_gay_anh_huong_ql,1.0703341563542683,0.11099582108759842,0,
requi14_gay_anh_huong_xh,1.0650381644566853,0.05392840809139537,0,
q2_care2,1.0644532044728596,0.0674163335503769,0,
requi18_lam_viec_ti_mi_chi_tiet_xh,1.0624772508939107,0.16184107981791743,0,
requi13_lam_viec_voi_nguoi_khac_xh,1.055345932642619,0.1584255461718615,0,
q5_affect21,1.051831563313802,0.029233033971605798,0,
q4_act7,1.044418176015218,0.061716438012757245,0,
requi13_lam_viec_voi_nguoi_khac_nc,1.0432931979497273,0.27820836582752967,0,
q5_affect6,1.0416439771652222,0.07107091765421249,0,
p1q3_typeclass,1.0365902384122212,0.16689385506756724,0,
q5_affect2,1.0358474055926006,0.09746596584043979,0,
q5_affect7,1.0298993984858196,0.0795370812846506,0,
q5_affect17,1.0295517245928447,0.0824287437348598,0,
q5_affect16,1.0292637944221497,0.09298659996146552,0,
requi12_thuyet_trinh_ql,1.0283869902292888,0.10135967871129699,0,
requi14_gay_anh_huong_nt,1.0275357365608215,0.04091025142719735,0,
requi12_thuyet_trinh_nt,1.0261993010838826,0.18604346019439932,0,
requi17_lam_viec_voi_ho_so_du_lieu_ql,1.0223191579182942,0.14221717514077709,0,
requi13_lam_viec_voi_nguoi_khac_nt,1.021946668624878,0.032125311270846946,0,
q4_act5,1.0129299561182659,0.13970570902007517,0,
requi9_bieu_dien_nghe_thuat_xh,1.0078980127970378,0.006949688498947614,0,
q5_affect4,1.001627544562022,0.09117989843988947,0,
q5_affect11,0.9967848261197408,0.14563515194860827,0,
requi16_vuot_kho_khan_nguy_hiem_xh,0.9956929683685303,0.21407896977992558,0,
requi1_kheo_leo_kt,0.9941114584604899,0.1634738333123263,0,
requi17_lam_viec_voi_ho_so_du_lieu_xh,0.9898525476455688,0.03835483280702264,0,
q5_affect14,0.9871701200803121,0.07763490918448623,0,
aware_lv_ky_thuat,0.9807370106379191,0.30865515054893516,0,
requi2_sang_tao_kt,0.9718000094095866,0.025218022962542178,0,
requi11_nghe_ql,0.9617106318473816,0.13136127054481053,0,
q5_affect10,0.9534528056780497,0.09179863843501018,0,
requi7_tuong_tuong_ql,0.9532844026883444,0.21538518842247875,0,
requi16_vuot_kho_khan_nguy_hiem_ql,0.9514188567797343,0.10117410230571916,0,
requi14_gay_anh_huong_nc,0.9441907604535421,0.08825411494234453,0,
q4_act1,0.9433023532231649,0.264390305316443,0,
requi18_lam_viec_ti_mi_chi_tiet_nt,0.9313219785690308,0.06017419915177033,0,
aware_lv_quan_ly,0.9196658134460449,0.19745467384279491,0,
q4_act9,0.8767069379488627,0.13064918142227158,0,
requi17_lam_viec_voi_ho_so_du_lieu_nt,0.8749284744262695,0.18962473385331471,0,
requi10_noi_nc,0.8682851592699686,0.35041958651661465,0,
requi18_lam_viec_ti_mi_chi_tiet_nv,0.8205022017161051,0.7176769748370898,0,
requi4_nghien_cuu_xh,0.7728690703709921,0.6796228562301876,0,
requi6_viet_nc,0.7098388671875,0.6234993122042207,0,
requi13_lam_viec_voi_nguoi_khac_nv,0.6985024809837341,0.6686240073877909,0,
q1_trainjob,0.68335489432017,0.6059857093794394,0,
requi15_thuyet_phuc_nv,0.6755211353302002,0.6232319934081532,0,
requi8_am_nhac_ql,0.6751809517542521,0.6231877904681508,0,
requi5_phan_tich_kt,0.632727046807607,0.5990205543887572,0,
requi11_nghe_nc,0.6276383598645529,0.56098927532201,0,
requi6_viet_nv,0.6134901245435079,0.6710103516320988,0,
requi10_noi_kt,0.4598260720570882,0.4119645150444241,0,
requi1_kheo_leo_nv,0.41066646575927734,0.711295183659813,0,
requi15_thuyet_phuc_kt,0.4105810523033142,0.356495614162376,0,
requi10_noi_nv,0.4060688018798828,0.7033317962245774,0,
requi2_sang_tao_nv,0.36065228780110675,0.6246680863374702,0,
requi9_bieu_dien_nghe_thuat_ql,0.34052685896555585,0.5898098210701841,0,
requi3_dinh_huong_nv,0.20861180623372397,0.3613262474555237,0,
requi9_bieu_dien_nghe_thuat_kt,0.2061355710029602,0.3570372822243489,0,
requi2_sang_tao_ql,0.1944204568862915,0.3367461093578113,0,
aware_lv_nghiep_vu,0.0,0.0,0,
p1q2_typeschool,0.0,0.0,0,
p1q6_ethn,0.0,0.0,0,
requi12_thuyet_trinh_kt,0.0,0.0,0,
requi1_kheo_leo_nc,0.0,0.0,0,
requi1_kheo_leo_ql,0.0,0.0,0,
requi3_dinh_huong_kt,0.0,0.0,0,
requi3_dinh_huong_nt,0.0,0.0,0,
requi8_am_nhac_kt,0.0,0.0,0,
requi8_am_nhac_nc,0.0,0.0,0,
requi8_am_nhac_nv,0.0,0.0,0,
requi9_bieu_dien_nghe_thuat_nc,0.0,0.0,0,
requi9_bieu_dien_nghe_thuat_nv,0.0,0.0,0,
